,R2 Score,MAE,RMSE,MDAE,Spearman Correlation,Accuracy,Train Accuracy,Precision,Recall,F1-Score
SVM_T_10,0.7997775305895439,0.1,0.4472135954999579,0.0,0.9005004170528446,0.95,1.0,0.9505555555555555,0.95,0.9500138927479855
KNN_T_10,0.3993325917686318,0.3,0.7745966692414834,0.0,0.7216396688393493,0.85,1.0,0.8710648148148149,0.85,0.8485314685314685
LASSO_log_T_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8687430478309232,0.9333333333333333,1.0,0.9354097144975899,0.9333333333333333,0.9333333333333333
Elasticnet_T_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8687430478309232,0.9333333333333333,1.0,0.9354097144975899,0.9333333333333333,0.9333333333333333
SVM_T_F_10,0.7997775305895439,0.1,0.4472135954999579,0.0,0.9005004170528446,0.95,1.0,0.9505555555555555,0.95,0.9500138927479855
KNN_T_F_10,0.4660734149054505,0.26666666666666666,0.7302967433402214,0.0,0.7352614015572859,0.8666666666666667,1.0,0.8685947348906192,0.8666666666666667,0.8666666666666667
LASSO_log_T_F_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8665183537263625,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
Elasticnet_T_F_10,0.7330367074527253,0.13333333333333333,0.5163977794943222,0.0,0.8665183537263625,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
SVM_P_10,0.9292803970223324,0.03508771929824561,0.26490647141300877,0.0,0.9653494919339114,0.9824561403508771,1.0,0.9831059129304743,0.9824561403508771,0.9824778463325031
KNN_P_10,0.71712158808933,0.14035087719298245,0.5298129428260175,0.0,0.8657081202406209,0.9298245614035088,1.0,0.937844611528822,0.9298245614035088,0.9290271132376395
LASSO_log_P_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9292803970223324,0.9649122807017544,1.0,0.9649122807017544,0.9649122807017544,0.9649122807017544
Elasticnet_P_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9292803970223324,0.9649122807017544,0.9819819819819819,0.9649122807017544,0.9649122807017544,0.9649122807017544
SVM_P_F_10,0.7878411910669976,0.10526315789473684,0.45883146774112354,0.0,0.8998825779289578,0.9473684210526315,1.0,0.9528130671506352,0.9473684210526315,0.9474657367610088
KNN_P_F_10,0.71712158808933,0.14035087719298245,0.5298129428260175,0.0,0.8598577804857348,0.9298245614035088,1.0,0.931552365762892,0.9298245614035088,0.9295175438596491
LASSO_log_P_F_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9320212414264205,0.9649122807017544,1.0,0.9674185463659147,0.9649122807017544,0.9649772579597141
Elasticnet_P_F_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9320212414264205,0.9649122807017544,1.0,0.9674185463659147,0.9649122807017544,0.9649772579597141
SVM_T_20,0.836021505376344,0.08196721311475409,0.40488816508945796,0.0,0.918156170097534,0.9590163934426229,1.0,0.9591507659231389,0.9590163934426229,0.9590191471620718
KNN_T_20,0.27849462365591393,0.36065573770491804,0.8493005801304012,0.0,0.6638454212676385,0.819672131147541,1.0,0.8439059158945118,0.819672131147541,0.8169220329297475
LASSO_log_T_20,0.7704301075268817,0.11475409836065574,0.47907013758040845,0.0,0.8863789883464581,0.9426229508196722,0.9774774774774775,0.9437409862527951,0.9426229508196722,0.9426113851979869
Elasticnet_T_20,0.8032258064516129,0.09836065573770492,0.4435327625727437,0.0,0.9021505376344087,0.9508196721311475,0.954954954954955,0.9513308655032611,0.9508196721311475,0.9508196721311475
SVM_T_F_20,0.7376344086021505,0.13114754098360656,0.5121475197315839,0.0,0.8692147124035615,0.9344262295081968,0.990990990990991,0.9348590305257208,0.9344262295081968,0.9343909463387096
KNN_T_F_20,0.27849462365591393,0.36065573770491804,0.8493005801304012,0.0,0.6489513805854031,0.819672131147541,0.8288288288288288,0.8289497387858044,0.819672131147541,0.8186987013561646
LASSO_log_T_F_20,0.6720430107526881,0.16393442622950818,0.5725983343138682,0.0,0.8365591397849462,0.9180327868852459,0.972972972972973,0.9185263528997003,0.9180327868852459,0.9180327868852459
Elasticnet_T_F_20,0.6720430107526881,0.16393442622950818,0.5725983343138682,0.0,0.8365591397849462,0.9180327868852459,0.9594594594594594,0.9185263528997003,0.9180327868852459,0.9180327868852459
SVM_P_20,0.5661846496106786,0.21666666666666667,0.6582805886043833,0.0,0.7837155345701736,0.8916666666666667,0.9811320754716981,0.8924708624708624,0.8916666666666667,0.8915081411283767
KNN_P_20,0.16573971078976646,0.4166666666666667,0.9128709291752769,0.0,0.5904573750613937,0.7916666666666666,1.0,0.8006169241231905,0.7916666666666666,0.7892416225749559
LASSO_log_P_20,0.5328142380422692,0.23333333333333334,0.6831300510639732,0.0,0.7695168559855078,0.8833333333333333,1.0,0.8868401206636501,0.8833333333333333,0.8828438228438228
Elasticnet_P_20,0.5328142380422692,0.23333333333333334,0.6831300510639732,0.0,0.7695168559855078,0.8833333333333333,0.9764150943396226,0.8868401206636501,0.8833333333333333,0.8828438228438228
SVM_P_F_20,0.5995550611790879,0.2,0.6324555320336759,0.0,0.8011253194776194,0.9,1.0,0.901571268237935,0.9,0.8997767857142858
KNN_P_F_20,-0.0344827586206895,0.5166666666666667,1.0165300454651272,0.0,0.5247242464198654,0.7416666666666667,0.7830188679245284,0.7897770811563914,0.7416666666666667,0.7278535781891488
LASSO_log_P_F_20,0.5661846496106786,0.21666666666666667,0.6582805886043833,0.0,0.7876778917084984,0.8916666666666667,1.0,0.8966894003978403,0.8916666666666667,0.8910824754301189
Elasticnet_P_F_20,0.5661846496106786,0.21666666666666667,0.6582805886043833,0.0,0.7876778917084984,0.8916666666666667,0.9575471698113207,0.8966894003978403,0.8916666666666667,0.8910824754301189
SVM_T_30,0.5110507470058032,0.24444444444444444,0.699205898780101,0.0,0.7563929274263396,0.8777777777777778,0.9850299401197605,0.8785852593416554,0.8777777777777778,0.8777475957251237
KNN_T_30,-0.11124830225953808,0.5555555555555556,1.0540925533894598,0.0,0.511998539706808,0.7222222222222222,0.7874251497005988,0.7930020085675181,0.7222222222222222,0.7054663359011185
LASSO_log_T_30,0.4666008149154217,0.26666666666666666,0.7302967433402214,0.0,0.7364738410978294,0.8666666666666667,0.9520958083832335,0.8697139071750922,0.8666666666666667,0.8664689160795944
Elasticnet_T_30,0.5110507470058032,0.24444444444444444,0.699205898780101,0.0,0.7573892349665934,0.8777777777777778,0.9281437125748503,0.8795528035775713,0.8777777777777778,0.877687198067633
SVM_T_F_30,0.2888010865538956,0.35555555555555557,0.8432740427115678,0.0,0.6446474873441166,0.8222222222222222,0.9790419161676647,0.8224252651218944,0.8222222222222222,0.8222222222222222
KNN_T_F_30,-0.022348438078775068,0.5111111111111111,1.0110500592068734,0.0,0.5160209459811181,0.7444444444444445,0.8353293413173652,0.7714150047483381,0.7444444444444445,0.7385799745023047
LASSO_log_T_F_30,0.2888010865538956,0.35555555555555557,0.8432740427115678,0.0,0.6473093605882553,0.8222222222222222,0.9820359281437125,0.8249603223892131,0.8222222222222222,0.8219585547727928
Elasticnet_T_F_30,0.39992591677984946,0.3,0.7745966692414834,0.0,0.7078449576090844,0.85,0.9191616766467066,0.8576797385620915,0.85,0.849335481272654
SVM_P_30,0.27235142118863065,0.36363636363636365,0.8528028654224418,0.0,0.6592421182770893,0.8181818181818182,1.0,0.842876987189381,0.8181818181818182,0.8141349906055789
KNN_P_30,-0.20516795865633064,0.6022727272727273,1.0975178606954215,0.0,0.43764035742438345,0.6988636363636364,1.0,0.7448776483289101,0.6988636363636364,0.6815255760821729
LASSO_log_P_30,0.2041343669250647,0.3977272727272727,0.8918825850158447,0.0,0.6406553492212393,0.8011363636363636,0.9938271604938271,0.8427685950413223,0.8011363636363636,0.7938839336187322
Elasticnet_P_30,0.15865633074935415,0.42045454545454547,0.917010954628728,0.0,0.6108435897603798,0.7897727272727273,0.9938271604938271,0.8239030061785481,0.7897727272727273,0.7830411215578679
SVM_P_F_30,0.36330749354005176,0.3181818181818182,0.7977240352174656,0.0,0.7068330177097258,0.8409090909090909,0.9691358024691358,0.8676107423985183,0.8409090909090909,0.8373681167798815
KNN_P_F_30,-0.3416020671834623,0.6704545454545454,1.1579762911688178,0.0,0.3650738175248185,0.6647727272727273,1.0,0.7070957668285913,0.6647727272727273,0.6434092400639325
LASSO_log_P_F_30,0.3178294573643412,0.3409090909090909,0.8257228238447705,0.0,0.678793361931515,0.8295454545454546,1.0,0.8507508116883117,0.8295454545454546,0.8263276327632764
Elasticnet_P_F_30,0.24961240310077526,0.375,0.8660254037844386,0.0,0.6415187904676704,0.8125,0.9722222222222222,0.8305093555093556,0.8125,0.8092566966492043
SVM_T_40,0.18327661643169668,0.4083333333333333,0.9036961141150639,0.0,0.6079339090533706,0.7958333333333333,0.9932432432432432,0.8119492616341203,0.7958333333333333,0.7934145092876993
KNN_T_40,-0.5001041739009653,0.75,1.224744871391589,0.0,0.2624181625804635,0.625,1.0,0.6368135376756066,0.625,0.6177884615384616
LASSO_log_T_40,0.06660184735051056,0.4666666666666667,0.9660917830792959,0.0,0.5601372470509024,0.7666666666666667,0.8693693693693694,0.7935357368753952,0.7666666666666667,0.7616067843053883
Elasticnet_T_40,0.14994096812278634,0.425,0.9219544457292888,0.0,0.5933426277351106,0.7875,0.8806306306306306,0.8057101938895417,0.7875,0.7845742997309701
SVM_T_F_40,0.06660184735051056,0.4666666666666667,0.9660917830792959,0.0,0.5415020021885965,0.7666666666666667,0.9842342342342343,0.7745969560984876,0.7666666666666667,0.765200083804735
KNN_T_F_40,-0.21675116327522748,0.6083333333333333,1.1030261405182864,0.0,0.40870215369425666,0.6958333333333333,1.0,0.7125274122807017,0.6958333333333333,0.6903395481323235
LASSO_log_T_F_40,0.14994096812278634,0.425,0.9219544457292888,0.0,0.5885783891898441,0.7875,0.8716216216216216,0.8008825231481482,0.7875,0.7853590264757934
Elasticnet_T_F_40,0.14994096812278634,0.425,0.9219544457292888,0.0,0.5885783891898441,0.7875,0.8603603603603603,0.8008825231481482,0.7875,0.7853590264757934
SVM_P_40,0.24016813907096046,0.379746835443038,0.8714893406611902,0.0,0.6286930471326359,0.810126582278481,0.9422632794457275,0.8195259498362595,0.810126582278481,0.8082584027589749
KNN_P_40,-0.06376460530065531,0.5316455696202531,1.0311600938944963,0.0,0.4867988383657439,0.7341772151898734,1.0,0.7550388482174699,0.7341772151898734,0.7273573742777405
LASSO_log_P_40,0.22328298660587076,0.3881856540084388,0.8811193494736553,0.0,0.6192081627572504,0.8059071729957806,0.9561200923787528,0.8142300326181285,0.8059071729957806,0.8041599741353798
Elasticnet_P_40,0.2570532915360503,0.37130801687763715,0.8617517239642021,0.0,0.6347518577492085,0.8143459915611815,0.9792147806004619,0.8212094235745478,0.8143459915611815,0.8129645976091026
SVM_P_F_40,0.20639783414078094,0.39662447257383965,0.8906452409055354,0.0,0.6050450217734765,0.8016877637130801,1.0,0.8039280691179426,0.8016877637130801,0.8010635268882542
KNN_P_F_40,-0.31704189227700175,0.6582278481012658,1.1473690322657883,0.0,0.37745304679055913,0.6708860759493671,0.7598152424942263,0.712717727352272,0.6708860759493671,0.6509848278088928
LASSO_log_P_F_40,0.1219720718153321,0.4388185654008439,0.93682289190737,0.0,0.561645759523694,0.7805907172995781,1.0,0.7815647066947233,0.7805907172995781,0.7801832429174202
Elasticnet_P_F_40,0.17262752921060143,0.41350210970464135,0.9093977234462832,0.0,0.591215715917172,0.7932489451476793,0.9376443418013857,0.7988090406912641,0.7932489451476793,0.7918603325138504
SVM_T_50,-0.08362416107382553,0.5418060200668896,1.0409668775392324,0.0,0.46740592639782047,0.7290969899665551,0.944043321299639,0.7382249805974104,0.7290969899665551,0.7266146982601427
KNN_T_50,-0.37794183445190166,0.6889632107023411,1.1738511069998112,0.0,0.3439344837927999,0.6555183946488294,0.7563176895306859,0.6895730291603109,0.6555183946488294,0.6397915090579173
LASSO_log_T_50,-0.003355704697986628,0.5016722408026756,1.0016708449412668,0.0,0.5045812029333283,0.7491638795986622,0.9404332129963899,0.7553299804818479,0.7491638795986622,0.7477364464090238
Elasticnet_T_50,-0.030111856823266336,0.5150501672240803,1.0149385865401712,0.0,0.49335795100695046,0.7424749163879598,0.8537906137184116,0.7508008958168025,0.7424749163879598,0.7404373552868537
SVM_T_F_50,-0.08362416107382553,0.5418060200668896,1.0409668775392324,0.0,0.47170024228129526,0.7290969899665551,0.8194945848375451,0.7425839755707431,0.7290969899665551,0.7254438132206795
KNN_T_F_50,-0.2575391498881434,0.6287625418060201,1.121394258774335,0.0,0.3907964295718996,0.68561872909699,1.0,0.7053425949747021,0.68561872909699,0.6781708116966829
LASSO_log_T_F_50,-0.11038031319910524,0.5551839464882943,1.053739955101157,0.0,0.4486809944990721,0.7224080267558528,0.9458483754512635,0.7261760393605731,0.7224080267558528,0.7213422470950032
Elasticnet_T_F_50,-0.04348993288590619,0.5217391304347826,1.0215078369104984,0.0,0.4828246066194065,0.7391304347826086,0.8537906137184116,0.7436029368110665,0.7391304347826086,0.738017110043361
SVM_P_50,-0.010344827586207028,0.5051194539249146,1.0051064161818037,0.0,0.49503141971482817,0.7474402730375427,1.0,0.7477502240926995,0.7474402730375427,0.7472812600576904
KNN_P_50,-0.2151444547996273,0.6075085324232082,1.1022781249967797,0.0,0.4236669444028343,0.6962457337883959,0.7693726937269373,0.7301499133514451,0.6962457337883959,0.6836153116502096
LASSO_log_P_50,0.016961789375582348,0.49146757679180886,0.9914308617264331,0.0,0.5135669903061674,0.7542662116040956,0.9372693726937269,0.7597638505997588,0.7542662116040956,0.752680348659177
Elasticnet_P_50,0.0715750232991611,0.4641638225255973,0.9634976102986424,0.0,0.5423612296412168,0.7679180887372014,0.966789667896679,0.7749316323806363,0.7679180887372014,0.7661512997510842
SVM_P_F_50,-0.2151444547996273,0.6075085324232082,1.1022781249967797,0.0,0.39307180914432766,0.6962457337883959,1.0,0.6971250066878564,0.6962457337883959,0.6956995981364444
KNN_P_F_50,-0.5974370922646786,0.7986348122866894,1.2638313275802981,0.0,0.21177159516763658,0.6006825938566553,0.7509225092250923,0.6130490882996786,0.6006825938566553,0.5874222495242571
LASSO_log_P_F_50,-0.010344827586207028,0.5051194539249146,1.0051064161818037,0.0,0.4979746198946707,0.7474402730375427,0.948339483394834,0.7509196173045086,0.7474402730375427,0.7463224904317937
Elasticnet_P_F_50,0.03061509785647709,0.48464163822525597,0.9845218516876667,0.0,0.5190595017197089,0.757679180887372,0.9022140221402214,0.7617717595850068,0.757679180887372,0.7564926278224264
